Season,Age,Team,Lg,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG
1942-43,21,MTL,NHL,RW,16,5,6,11,4,5,0,0,2
1943-44,22,MTL,NHL,RW,46,32,22,54,45,28,4,0,5
1944-45,23,MTL,NHL,RW,50,50,23,73,46,39,11,0,7
1945-46,24,MTL,NHL,RW,50,27,22,49,50,21,6,0,6
1946-47,25,MTL,NHL,RW,60,45,26,71,69,33,12,0,10
1947-48,26,MTL,NHL,RW,53,28,25,53,91,24,2,2,3
1948-49,27,MTL,NHL,RW,59,20,18,38,110,18,2,0,1
1949-50,28,MTL,NHL,RW,70,43,22,65,114,30,13,0,8
1950-51,29,MTL,NHL,RW,65,42,24,66,97,31,9,2,8
1951-52,30,MTL,NHL,RW,48,27,17,44,44,18,9,0,3
1952-53,31,MTL,NHL,RW,70,28,33,61,112,21,7,0,1
1953-54,32,MTL,NHL,RW,70,37,30,67,112,20,17,0,6
1954-55,33,MTL,NHL,RW,67,38,36,74,125,27,11,0,5
1955-56,34,MTL,NHL,RW,70,38,33,71,89,25,13,0,12
1956-57,35,MTL,NHL,RW,63,33,29,62,74,21,12,0,2
1957-58,36,MTL,NHL,RW,28,15,19,34,28,10,5,0,2
1958-59,37,MTL,NHL,RW,42,17,21,38,27,13,4,0,2
1959-60,38,MTL,NHL,RW,51,19,16,35,50,13,6,0,1
