Team,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,SHFT,TOI,ATOI
Anaheim Ducks,27,12,21,33,-7,14,8,4,0,3,118,10.2,599,554:37,20:32
Arizona Coyotes,26,10,13,23,1,18,5,5,0,0,131,7.6,544,551:21,21:12
Boston Bruins,69,30,31,61,-5,49,20,10,0,5,309,9.7,1489,1449:26,21:00
Buffalo Sabres,67,42,29,71,-2,71,29,13,0,5,352,11.9,1404,1340:27,20:00
Calgary Flames,27,18,16,34,2,6,6,12,0,4,133,13.5,580,538:08,19:56
Carolina Hurricanes,92,52,54,106,-1,61,32,20,0,9,439,11.8,2008,1900:20,20:39
Chicago Blackhawks,26,17,15,32,12,45,12,5,0,3,101,16.8,546,497:53,19:09
Colorado Avalanche,27,12,10,22,-1,10,6,6,0,3,112,10.7,579,544:51,20:11
Columbus Blue Jackets,49,26,16,42,-8,26,14,12,0,6,233,11.2,1010,981:06,20:01
Dallas Stars,27,12,9,21,-6,10,5,7,0,0,125,9.6,586,560:54,20:46
Detroit Red Wings,38,25,16,41,10,10,14,11,0,6,175,14.3,817,789:48,20:47
Edmonton Oilers,26,17,12,29,-1,8,11,6,0,3,129,13.2,567,525:05,20:12
Florida Panthers,74,45,47,92,13,22,33,12,0,9,364,12.4,1646,1557:05,21:03
Los Angeles Kings,28,12,11,23,-9,6,6,6,0,2,119,10.1,590,571:53,20:25
Minnesota Wild,25,20,18,38,3,4,10,10,0,1,116,17.2,541,512:06,20:29
Montreal Canadiens,60,39,31,70,12,42,27,12,0,2,258,15.1,1307,1259:02,20:59
Nashville Predators,29,19,10,29,-5,22,10,9,0,1,126,15.1,623,604:15,20:50
New Jersey Devils,78,42,46,88,34,30,33,9,0,8,288,14.6,1680,1612:18,20:40
New York Islanders,72,45,24,69,0,46,32,13,0,11,306,14.7,1519,1491:32,20:43
New York Rangers,76,46,26,72,-8,57,24,20,2,8,356,12.9,1614,1539:50,20:16
Ottawa Senators,60,38,26,64,15,42,27,10,1,5,278,13.7,1300,1244:28,20:44
Philadelphia Flyers,78,52,31,83,0,28,34,18,0,5,340,15.3,1683,1605:43,20:35
Pittsburgh Penguins,79,42,33,75,5,48,19,22,1,3,370,11.4,1727,1666:34,21:06
San Jose Sharks,29,17,13,30,-7,12,13,4,0,2,132,12.9,628,610:54,21:04
Seattle Kraken,8,5,6,11,1,0,4,1,0,0,40,12.5,159,149:31,18:41
St. Louis Blues,28,21,17,38,-5,8,13,8,0,4,120,17.5,604,563:20,20:07
Tampa Bay Lightning,83,51,46,97,5,46,36,14,1,7,425,12.0,1827,1764:31,21:16
Toronto Maple Leafs,61,45,34,79,2,36,27,18,0,6,287,15.7,1291,1240:59,20:21
Utah Hockey Club,2,2,3,5,2,2,1,1,0,1,7,28.6,38,32:37,16:19
Vancouver Canucks,28,16,11,27,-1,12,9,7,0,5,109,14.7,606,559:51,20:00
Vegas Golden Knights,13,8,4,12,5,4,7,1,0,0,50,16.0,275,251:59,19:23
Winnipeg Jets,75,57,45,102,6,36,38,19,0,9,404,14.1,1654,1584:49,21:08

