Rank,Date,Tm,,Opp,,,Scorer,Age,Cr. Goal #,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
1,2025-04-06,WSH,@,NYI,L,,Alex Ovechkin,39-201,895,Tom Wilson,Dylan Strome,Ilya Sorokin,2,07:26,PP,,UBS Arena
2,2025-04-04,WSH,,CHI,W,,Alex Ovechkin,39-199,894,John Carlson,Andrew Mangiapane,Spencer Knight,3,06:13,PP,,Capital One Arena
3,2025-04-04,WSH,,CHI,W,,Alex Ovechkin,39-199,893,Dylan Strome,John Carlson,Spencer Knight,1,03:52,EV,,Capital One Arena
4,2025-04-02,WSH,@,CAR,L,,Alex Ovechkin,39-197,892,Jakob Chychrun,Dylan Strome,Frederik Andersen,2,19:25,PP,,Lenovo Center
5,2025-04-01,WSH,@,BOS,W,,Alex Ovechkin,39-196,891,Dylan Strome,John Carlson,Jeremy Swayman,1,15:43,PP,,TD Garden
6,2025-03-30,WSH,,BUF,L,,Alex Ovechkin,39-194,890,Rasmus Sandin,Trevor van Riemsdyk,James Reimer,3,09:11,EV,,Capital One Arena
7,2025-03-25,WSH,@,WPG,L,OT,Alex Ovechkin,39-189,889,Aliaksei Protas,Trevor van Riemsdyk,Connor Hellebuyck,3,16:00,EV,,Canada Life Centre
8,2025-03-20,WSH,,PHI,W,,Alex Ovechkin,39-184,888,Aliaksei Protas,Trevor van Riemsdyk,Samuel Ersson,1,14:25,EV,,Capital One Arena
9,2025-03-15,WSH,@,SJS,W,,Alex Ovechkin,39-179,887,Martin Fehérváry,Pierre-Luc Dubois,Georgi Romanov,3,10:54,EV,,SAP Center at San Jose
10,2025-03-09,WSH,,SEA,W,,Alex Ovechkin,39-173,886,Tom Wilson,Nic Dowd,,3,18:31,EV,EN,Capital One Arena
11,2025-03-05,WSH,@,NYR,W,OT,Alex Ovechkin,39-169,885,Andrew Mangiapane,Ethen Frank,Igor Shesterkin,3,10:28,PP,,Madison Square Garden (IV)
12,2025-03-01,WSH,,TBL,L,,Alex Ovechkin,39-165,884,Matt Roy,,Andrei Vasilevskiy,3,16:01,EV,,Capital One Arena
13,2025-02-25,WSH,,CGY,L,,Alex Ovechkin,39-161,883,John Carlson,Dylan Strome,Daniel Vladař,3,04:52,PP,,Capital One Arena
14,2025-02-23,WSH,,EDM,W,,Alex Ovechkin,39-159,881,Jakob Chychrun,,Calvin Pickard,2,18:39,PP,,Capital One Arena
15,2025-02-23,WSH,,EDM,W,,Alex Ovechkin,39-159,882,,,,3,17:22,EV,EN,Capital One Arena
16,2025-02-23,WSH,,EDM,W,,Alex Ovechkin,39-159,880,Dylan Strome,Aliaksei Protas,Calvin Pickard,2,08:53,EV,,Capital One Arena
17,2025-02-06,WSH,@,PHI,W,,Alex Ovechkin,39-142,879,Martin Fehérváry,Dylan Strome,Ivan Fedotov,1,19:07,EV,,Wells Fargo Center
18,2025-02-04,WSH,,FLA,W,,Alex Ovechkin,39-140,878,Martin Fehérváry,Nic Dowd,,3,19:59,EV,EN,Capital One Arena
19,2025-02-01,WSH,,WPG,L,OT,Alex Ovechkin,39-137,877,Tom Wilson,Matt Roy,Connor Hellebuyck,3,12:21,EV,,Capital One Arena
20,2025-01-30,WSH,@,OTT,L,OT,Alex Ovechkin,39-135,876,Aliaksei Protas,Connor McMichael,Anton Forsberg,3,13:01,PP,,Canadian Tire Centre
21,2025-01-23,WSH,@,SEA,W,,Alex Ovechkin,39-128,875,Trevor van Riemsdyk,Jakob Chychrun,,3,16:32,EV,EN,Climate Pledge Arena
22,2025-01-16,WSH,@,OTT,W,OT,Alex Ovechkin,39-121,874,Rasmus Sandin,,Leevi Merilainen,OT,03:07,EV,,Canadian Tire Centre
23,2025-01-11,WSH,@,NSH,W,,Alex Ovechkin,39-116,873,,,,3,19:01,EV,EN,Bridgestone Arena
24,2025-01-04,WSH,,NYR,W,,Alex Ovechkin,39-109,872,Dylan Strome,,Jonathan Quick,3,10:50,EV,,Capital One Arena
25,2025-01-02,WSH,,MIN,L,SO,Alex Ovechkin,39-107,871,Dylan Strome,,Marc-André Fleury,2,15:08,PP,,Capital One Arena
26,2024-12-29,WSH,@,DET,L,,Alex Ovechkin,39-103,870,Jakob Chychrun,Connor McMichael,Alex Lyon,1,12:04,EV,,Little Caesars Arena
27,2024-12-28,WSH,@,TOR,W,,Alex Ovechkin,39-102,869,Aliaksei Protas,Pierre-Luc Dubois,,3,16:37,EV,EN,Scotiabank Arena
28,2024-11-18,WSH,@,UTA,W,,Alex Ovechkin,39-062,868,John Carlson,Dylan Strome,Connor Ingram,2,05:38,PP,,Delta Center
29,2024-11-18,WSH,@,UTA,W,,Alex Ovechkin,39-062,867,Pierre-Luc Dubois,,Connor Ingram,1,11:05,EV,,Delta Center
30,2024-11-17,WSH,@,VEG,W,,Alex Ovechkin,39-061,864,John Carlson,Dylan Strome,Ilya Samsonov,1,05:59,PP,,T-Mobile Arena
31,2024-11-17,WSH,@,VEG,W,,Alex Ovechkin,39-061,866,Aliaksei Protas,Martin Fehérváry,,3,19:23,EV,EN,T-Mobile Arena
32,2024-11-17,WSH,@,VEG,W,,Alex Ovechkin,39-061,865,Matt Roy,,Ilya Samsonov,2,17:38,EV,,T-Mobile Arena
33,2024-11-09,WSH,@,STL,W,,Alex Ovechkin,39-053,863,Dylan Strome,Tom Wilson,Jordan Binnington,3,02:09,PP,,Enterprise Center
34,2024-11-09,WSH,@,STL,W,,Alex Ovechkin,39-053,862,Aliaksei Protas,Dylan Strome,Jordan Binnington,2,07:42,EV,,Enterprise Center
35,2024-11-06,WSH,,NSH,W,,Alex Ovechkin,39-050,861,Dylan Strome,Martin Fehérváry,Juuse Saros,3,10:25,EV,,Capital One Arena
36,2024-11-03,WSH,@,CAR,L,,Alex Ovechkin,39-047,860,John Carlson,Dylan Strome,Pyotr Kochetkov,1,19:16,PP,,Lenovo Center
37,2024-11-02,WSH,,CBJ,W,,Alex Ovechkin,39-046,859,Dylan Strome,Aliaksei Protas,Daniil Tarasov,1,14:34,EV,,Capital One Arena
38,2024-10-31,WSH,,MTL,W,,Alex Ovechkin,39-044,858,Aliaksei Protas,Dylan Strome,Cayden Primeau,3,12:27,EV,,Capital One Arena
39,2024-10-29,WSH,,NYR,W,,Alex Ovechkin,39-042,857,Aliaksei Protas,Dylan Strome,Igor Shesterkin,1,05:10,EV,,Capital One Arena
40,2024-10-29,WSH,,NYR,W,,Alex Ovechkin,39-042,856,Dylan Strome,Aliaksei Protas,Igor Shesterkin,1,03:23,EV,,Capital One Arena
41,2024-10-23,WSH,,PHI,W,,Alex Ovechkin,39-036,855,Dylan Strome,,,3,18:50,EV,EN,Capital One Arena
42,2024-10-19,WSH,@,NJD,W,OT,Alex Ovechkin,39-032,854,John Carlson,Dylan Strome,Jacob Markström,1,14:18,EV,,Prudential Center
43,2024-04-16,WSH,@,PHI,W,,Alex Ovechkin,38-212,853,Dylan McIlrath,T.J. Oshie,Samuel Ersson,1,18:08,EV,,Wells Fargo Center
44,2024-04-09,WSH,@,DET,W,,Alex Ovechkin,38-205,852,T.J. Oshie,,Alex Lyon,2,19:52,EV,,Little Caesars Arena
45,2024-04-05,WSH,@,CAR,L,,Alex Ovechkin,38-201,851,John Carlson,Dylan Strome,Pyotr Kochetkov,1,19:15,EV,,PNC Arena
46,2024-04-05,WSH,@,CAR,L,,Alex Ovechkin,38-201,850,Dylan Strome,Trevor van Riemsdyk,Pyotr Kochetkov,1,03:31,EV,,PNC Arena
47,2024-04-04,WSH,,PIT,L,,Alex Ovechkin,38-200,849,Sonny Milano,Hendrix Lapierre,Alex Nedeljkovic,3,06:02,PP,,Capital One Arena
48,2024-03-24,WSH,,WPG,W,,Alex Ovechkin,38-189,848,Dylan Strome,T.J. Oshie,Connor Hellebuyck,3,12:00,EV,,Capital One Arena
49,2024-03-24,WSH,,WPG,W,,Alex Ovechkin,38-189,847,Connor McMichael,,Connor Hellebuyck,3,03:36,EV,,Capital One Arena
50,2024-03-22,WSH,,CAR,W,SO,Alex Ovechkin,38-187,846,Dylan Strome,Ivan Miroshnichenko,Pyotr Kochetkov,2,13:59,PP,,Capital One Arena
51,2024-03-20,WSH,,TOR,L,,Alex Ovechkin,38-185,844,John Carlson,Tom Wilson,Joseph Woll,2,09:57,PP,,Capital One Arena
52,2024-03-20,WSH,,TOR,L,,Alex Ovechkin,38-185,845,Dylan Strome,,Joseph Woll,3,06:42,EV,,Capital One Arena
53,2024-03-18,WSH,@,CGY,W,,Alex Ovechkin,38-183,843,John Carlson,Dylan Strome,Dustin Wolf,2,09:16,PP,,Scotiabank Saddledome
54,2024-03-18,WSH,@,CGY,W,,Alex Ovechkin,38-183,842,Max Pacioretty,Tom Wilson,Dustin Wolf,2,05:58,PP,,Scotiabank Saddledome
55,2024-03-16,WSH,@,VAN,W,,Alex Ovechkin,38-181,841,Connor McMichael,Alexander Alexeyev,Casey DeSmith,2,07:54,EV,,Rogers Arena
56,2024-03-07,WSH,@,PIT,W,,Alex Ovechkin,38-172,840,Dylan Strome,John Carlson,Tristan Jarry,2,00:30,PP,,PPG Paints Arena
57,2024-03-01,WSH,,PHI,W,,Alex Ovechkin,38-166,839,Tom Wilson,Hendrix Lapierre,Samuel Ersson,2,04:34,EV,,Capital One Arena
58,2024-02-20,WSH,,NJD,W,,Alex Ovechkin,38-156,838,Dylan Strome,T.J. Oshie,Nico Daws,3,19:27,PP,,Capital One Arena
59,2024-02-20,WSH,,NJD,W,,Alex Ovechkin,38-156,837,Dylan Strome,,Nico Daws,3,08:44,EV,,Capital One Arena
60,2024-02-13,WSH,,COL,L,,Alex Ovechkin,38-149,836,John Carlson,Anthony Mantha,Alexandar Georgiev,3,09:00,PP,,Capital One Arena
61,2024-02-11,WSH,,VAN,L,OT,Alex Ovechkin,38-147,835,Dylan Strome,T.J. Oshie,Thatcher Demko,2,07:37,EV,,Capital One Arena
62,2024-02-10,WSH,@,BOS,W,,Alex Ovechkin,38-146,834,Beck Malenstyn,,,3,19:33,EV,EN,TD Garden
