SeasonType,Season,Age,Team,Lg,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG
1,1979-80,19,EDM,NHL,C,79,51,86,137,14,21,37,13,1,6
2,1980-81,20,EDM,NHL,C,80,55,109,164,41,28,36,15,4,3
3,1981-82,21,EDM,NHL,C,80,92,120,212,80,26,68,18,6,12
4,1982-83,22,EDM,NHL,C,80,71,125,196,61,59,47,18,6,9
5,1983-84,23,EDM,NHL,C,74,87,118,205,78,39,55,20,12,11
6,1984-85,24,EDM,NHL,C,80,73,135,208,100,52,54,8,11,7
7,1985-86,25,EDM,NHL,C,80,52,163,215,71,46,38,11,3,6
8,1986-87,26,EDM,NHL,C,79,62,121,183,69,28,42,13,7,4
9,1987-88,27,EDM,NHL,C,64,40,109,149,39,24,26,9,5,3
10,1988-89,28,LAK,NHL,C,78,54,114,168,15,26,38,11,5,5
11,1989-90,29,LAK,NHL,C,73,40,102,142,8,42,26,10,4,4
12,1990-91,30,LAK,NHL,C,78,41,122,163,30,16,33,8,0,5
13,1991-92,31,LAK,NHL,C,74,31,90,121,-12,34,17,12,2,2
14,1992-93,32,LAK,NHL,C,45,16,49,65,6,6,14,0,2,1
15,1993-94,33,LAK,NHL,C,81,38,92,130,-25,20,20,14,4,0
16,1994-95,34,LAK,NHL,C,48,11,37,48,-20,6,8,3,0,1
17,1995-96,35,2TM,NHL,C,80,23,79,102,-13,34,16,6,1,3
18,1996-97,36,NYR,NHL,C,82,25,72,97,12,28,19,6,0,2
19,1997-98,37,NYR,NHL,C,82,23,67,90,-11,28,17,6,0,4
20,1998-99,38,NYR,NHL,C,70,9,53,62,-23,14,6,3,0,3
