Season,Age,Team,Lg,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG
1946-47,18,DET,NHL,RW,58,7,15,22,,52,7,0,0,0
1947-48,19,DET,NHL,RW,60,16,28,44,,63,14,1,1,2
1948-49,20,DET,NHL,RW,40,12,25,37,,57,10,2,0,2
1949-50,21,DET,NHL,RW,70,35,33,68,,69,30,5,0,4
1950-51,22,DET,NHL,RW,70,43,43,86,,74,38,5,0,9
1951-52,23,DET,NHL,RW,70,47,39,86,,78,41,5,1,10
1952-53,24,DET,NHL,RW,70,49,46,95,,57,37,11,1,6
1953-54,25,DET,NHL,RW,70,33,48,81,,109,18,15,0,8
1954-55,26,DET,NHL,RW,64,29,33,62,,68,20,7,2,5
1955-56,27,DET,NHL,RW,70,38,41,79,,100,24,14,0,8
1956-57,28,DET,NHL,RW,70,44,45,89,,74,29,15,0,6
1957-58,29,DET,NHL,RW,64,33,44,77,,38,20,10,3,7
1958-59,30,DET,NHL,RW,70,32,46,78,,57,24,8,0,5
1959-60,31,DET,NHL,RW,70,28,45,73,16,46,21,5,2,5
1960-61,32,DET,NHL,RW,64,23,49,72,-5,30,15,6,2,4
1961-62,33,DET,NHL,RW,70,33,44,77,12,54,21,10,2,7
1962-63,34,DET,NHL,RW,70,38,48,86,23,100,25,13,0,6
1963-64,35,DET,NHL,RW,69,26,47,73,-10,70,13,12,1,3
1964-65,36,DET,NHL,RW,70,29,47,76,22,104,13,13,3,2
1965-66,37,DET,NHL,RW,70,29,46,75,19,83,22,7,0,3
1966-67,38,DET,NHL,RW,69,25,40,65,-3,53,16,8,1,1
1967-68,39,DET,NHL,RW,74,39,43,82,12,53,29,10,0,4
1968-69,40,DET,NHL,RW,76,44,59,103,45,58,35,9,0,6
1969-70,41,DET,NHL,RW,76,31,40,71,23,58,16,11,4,5
1970-71,42,DET,NHL,RW,63,23,29,52,-3,38,15,7,1,3
1979-80,51,HAR,NHL,RW,80,15,26,41,9,42,13,2,0,0
