SeasonType,Season,Age,Team,Lg,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG
1,2005-06,20,WSH,NHL,LW,81,52,54,106,2,52,28,21,3,5
2,2006-07,21,WSH,NHL,LW,82,46,46,92,-19,52,30,16,0,8
3,2007-08,22,WSH,NHL,LW,82,65,47,112,28,40,43,22,0,11
4,2008-09,23,WSH,NHL,LW,79,56,54,110,8,72,36,19,1,10
5,2009-10,24,WSH,NHL,LW,72,50,59,109,45,89,37,13,0,7
6,2010-11,25,WSH,NHL,LW,79,32,53,85,24,41,25,7,0,11
7,2011-12,26,WSH,NHL,LW,78,38,27,65,-8,26,25,13,0,3
9,2012-13,27,WSH,NHL,RW,48,32,24,56,2,36,16,16,0,4
10,2013-14,28,WSH,NHL,LW,78,51,28,79,-35,48,27,24,0,10
11,2014-15,29,WSH,NHL,LW,81,53,28,81,10,58,28,25,0,11
12,2015-16,30,WSH,NHL,LW,79,50,21,71,21,53,31,19,0,8
13,2016-17,31,WSH,NHL,LW,82,33,36,69,6,50,16,17,0,7
14,2017-18,32,WSH,NHL,LW,82,49,38,87,3,32,32,17,0,7
15,2018-19,33,WSH,NHL,LW,81,51,38,89,7,40,33,18,0,5
16,2019-20,34,WSH,NHL,LW,68,48,19,67,-12,30,35,13,0,3
17,2020-21,35,WSH,NHL,LW,45,24,18,42,-7,12,15,9,0,6
18,2021-22,36,WSH,NHL,LW,77,50,40,90,8,18,33,16,1,5
19,2022-23,37,WSH,NHL,LW,73,42,33,75,-16,48,28,14,0,3
20,2023-24,38,WSH,NHL,LW,79,31,34,65,-22,20,18,13,0,5
21,2024-25,39,WSH,NHL,LW,61,42,27,69,17,14,29,13,0,7
